#Acceptor              DonorH          Donor   Frames         Frac      AvgDist       AvgAng
ULL_11@O2            ULL_14@H      ULL_14@N1     2340       0.0078       2.8829     150.2329
ULL_4@O3             ULL_14@H      ULL_14@N1     2337       0.0078       2.8880     161.2600
ULL_19@O           ALP_20@H13      ALP_20@N1     2332       0.0078       2.7920     160.4393
ULL_4@O             ULL_1@H27        ULL_1@N     2296       0.0077       2.8802     163.8536
ULL_3@O3              ULL_7@H       ULL_7@N1     2280       0.0076       2.8680     163.5127
ULL_9@O               ULL_9@H       ULL_9@N1     2178       0.0073       2.8612     147.6640
ULL_9@O              ULL_12@H      ULL_12@N1     2087       0.0070       2.8933     162.4423
ULL_3@O             ULL_7@H27        ULL_7@N     1978       0.0066       2.8458     156.5363
ULL_17@O             ULL_17@H      ULL_17@N1     1910       0.0064       2.8719     147.2001
ULL_4@O               ULL_4@H       ULL_4@N1     1861       0.0062       2.8700     146.9329
ULL_9@O3            ULL_2@H27        ULL_2@N     1834       0.0061       2.8312     159.3936
ULL_11@O2          ULL_10@H27       ULL_10@N     1813       0.0060       2.8391     161.6707
ULL_14@O1          ULL_18@H27       ULL_18@N     1756       0.0059       2.8627     156.1746
ULL_2@O1            ULL_3@H27        ULL_3@N     1756       0.0059       2.8739     164.1185
ULL_5@O2           ULL_12@H27       ULL_12@N     1684       0.0056       2.8417     158.8583
ULL_18@O1          ALP_20@H22      ALP_20@O2     1661       0.0055       2.6783     162.3917
ULL_18@O3          ALP_20@H14      ALP_20@N1     1644       0.0055       2.7782     158.2229
ULL_15@O1          ALP_20@H13      ALP_20@N1     1587       0.0053       2.8334     153.6417
ULL_1@O               ULL_1@H       ULL_1@N1     1584       0.0053       2.8766     147.3211
ULL_14@O           ULL_17@H27       ULL_17@N     1567       0.0052       2.8781     162.1424
ULL_15@O             ULL_18@H      ULL_18@N1     1475       0.0049       2.9135     163.0291
ULL_17@O3          ALP_20@H22      ALP_20@O2     1304       0.0043       2.6319     165.2235
ULL_1@O3             ULL_14@H      ULL_14@N1     1291       0.0043       2.8869     162.4795
ULL_7@O2              ULL_3@H       ULL_3@N1     1287       0.0043       2.8841     160.7916
ULL_15@O3          ALP_20@H13      ALP_20@N1     1251       0.0042       2.7940     161.1480
ULL_15@O             ULL_15@H      ULL_15@N1     1213       0.0040       2.8926     148.5601
ULL_18@O3             ULL_1@H       ULL_1@N1     1160       0.0039       2.8903     160.1963
ULL_18@O2          ALP_20@H22      ALP_20@O2     1155       0.0039       2.6314     165.6152
ULL_17@O1          ALP_20@H14      ALP_20@N1     1092       0.0036       2.8213     157.7400
ULL_19@O           ALP_20@H22      ALP_20@O2      991       0.0033       2.6993     163.6311
ULL_19@O             ULL_19@H      ULL_19@N1      986       0.0033       2.8735     146.5565
ULL_8@O3           ALP_20@H14      ALP_20@N1      968       0.0032       2.7898     154.0541
ULL_16@O             ULL_16@H      ULL_16@N1      960       0.0032       2.8620     147.3523
ULL_17@O2          ULL_13@H27       ULL_13@N      903       0.0030       2.8397     161.5484
ULL_9@O1            ULL_2@H27        ULL_2@N      881       0.0029       2.8496     160.0108
ULL_1@O2              ULL_4@H       ULL_4@N1      867       0.0029       2.8925     161.9564
ALP_20@O1          ALP_20@H14      ALP_20@N1      842       0.0028       2.8147     141.0350
ULL_9@O2           ULL_13@H27       ULL_13@N      776       0.0026       2.8322     158.3049
ULL_14@O           ULL_18@H27       ULL_18@N      773       0.0026       2.8997     163.1299
ULL_13@O             ULL_13@H      ULL_13@N1      768       0.0026       2.8686     146.2914
ULL_11@O1            ULL_10@H      ULL_10@N1      747       0.0025       2.8955     145.6436
ULL_8@O1           ALP_20@H22      ALP_20@O2      743       0.0025       2.6842     163.1221
ALP_20@O2          ULL_15@H27       ULL_15@N      704       0.0023       2.9182     153.4009
ULL_6@O3            ULL_5@H27        ULL_5@N      670       0.0022       2.8442     160.4760
ULL_4@O2             ULL_14@H      ULL_14@N1      662       0.0022       2.8943     160.0073
ULL_8@O1           ALP_20@H13      ALP_20@N1      638       0.0021       2.8166     159.0849
ULL_5@O2             ULL_12@H      ULL_12@N1      632       0.0021       2.8737     157.7773
ULL_18@O1          ALP_20@H13      ALP_20@N1      626       0.0021       2.8209     158.9225
ULL_15@O1          ALP_20@H14      ALP_20@N1      622       0.0021       2.8044     160.3021
ULL_7@O1              ULL_4@H       ULL_4@N1      607       0.0020       2.9038     159.1020
ULL_11@O2            ULL_13@H      ULL_13@N1      603       0.0020       2.9122     162.2040
ULL_9@O2             ULL_13@H      ULL_13@N1      576       0.0019       2.8695     161.7255
ULL_1@O               ULL_5@H       ULL_5@N1      571       0.0019       2.8780     157.0433
ULL_1@O3           ULL_11@H27       ULL_11@N      516       0.0017       2.8527     160.3475
ULL_7@O3            ULL_4@H27        ULL_4@N      470       0.0016       2.8238     156.1624
ULL_12@O           ALP_20@H14      ALP_20@N1      460       0.0015       2.7802     151.9407
ULL_8@O1            ULL_6@H27        ULL_6@N      426       0.0014       2.8954     163.1227
ULL_4@O             ULL_7@H27        ULL_7@N      421       0.0014       2.8861     161.3308
ULL_17@O2            ULL_13@H      ULL_13@N1      406       0.0014       2.8798     160.3972
ULL_8@O3           ALP_20@H13      ALP_20@N1      370       0.0012       2.8312     161.5608
ULL_6@O1              ULL_2@H       ULL_2@N1      368       0.0012       2.9187     156.3316
ULL_3@O2           ULL_10@H27       ULL_10@N      367       0.0012       2.8544     159.9010
ULL_17@O           ALP_20@H22      ALP_20@O2      350       0.0012       2.6957     163.4157
ULL_18@O1          ALP_20@H14      ALP_20@N1      341       0.0011       2.8267     157.7410
ULL_12@O             ULL_15@H      ULL_15@N1      337       0.0011       2.8863     149.3178
ULL_7@O3              ULL_4@H       ULL_4@N1      320       0.0011       2.8781     156.6478
ULL_9@O3              ULL_2@H       ULL_2@N1      318       0.0011       2.8893     160.7295
ULL_1@O2             ULL_14@H      ULL_14@N1      306       0.0010       2.8943     153.3469
ULL_3@O3           ULL_10@H27       ULL_10@N      293       0.0010       2.8632     156.7880
ULL_8@O               ULL_8@H       ULL_8@N1      290       0.0010       2.8710     145.1557
ULL_17@O1          ALP_20@H13      ALP_20@N1      285       0.0009       2.7950     161.1763
ULL_15@O1          ALP_20@H22      ALP_20@O2      282       0.0009       2.7041     159.6132
ULL_18@O2          ALP_20@H14      ALP_20@N1      280       0.0009       2.7934     158.2638
ALP_20@O2            ULL_15@H      ULL_15@N1      276       0.0009       2.9226     148.9160
ULL_18@O2          ALP_20@H13      ALP_20@N1      269       0.0009       2.7775     158.4304
ALP_20@O1          ULL_15@H27       ULL_15@N      238       0.0008       2.9031     151.3928
ULL_1@O2             ULL_11@H      ULL_11@N1      224       0.0007       2.8891     155.9627
ULL_19@O2            ULL_16@H      ULL_16@N1      221       0.0007       2.8791     150.8469
ULL_11@O1            ULL_13@H      ULL_13@N1      221       0.0007       2.9230     157.9112
ULL_11@O2            ULL_10@H      ULL_10@N1      220       0.0007       2.8888     161.4699
ULL_9@O2            ULL_2@H27        ULL_2@N      213       0.0007       2.8461     158.4820
ULL_17@O           ALP_20@H13      ALP_20@N1      209       0.0007       2.8002     154.2304
ULL_11@O             ULL_11@H      ULL_11@N1      209       0.0007       2.8648     146.2501
ULL_2@O             ULL_3@H27        ULL_3@N      199       0.0007       2.8876     161.1648
ULL_17@O3          ULL_16@H27       ULL_16@N      197       0.0007       2.8377     160.1203
ALP_20@O1          ALP_20@H13      ALP_20@N1      183       0.0006       2.8098     141.2986
ULL_17@O             ULL_14@H      ULL_14@N1      183       0.0006       2.8601     166.0181
ULL_8@O3            ULL_6@H27        ULL_6@N      169       0.0006       2.8635     160.4824
ALP_20@O1          ULL_19@H27       ULL_19@N      162       0.0005       2.9188     162.0278
ULL_3@O1            ULL_7@H27        ULL_7@N      153       0.0005       2.8986     159.1326
ULL_8@O            ALP_20@H22      ALP_20@O2      142       0.0005       2.7078     156.9228
ULL_14@O1          ULL_17@H27       ULL_17@N      134       0.0004       2.8828     157.7756
ULL_5@O1             ULL_12@H      ULL_12@N1      134       0.0004       2.9192     158.1551
ULL_6@O               ULL_2@H       ULL_2@N1      123       0.0004       2.9124     156.1584
ULL_18@O3          ALP_20@H13      ALP_20@N1      104       0.0003       2.7854     153.4888
ULL_9@O3           ULL_13@H27       ULL_13@N      104       0.0003       2.8614     162.0828
ULL_9@O2            ULL_6@H27        ULL_6@N       87       0.0003       2.8810     157.1499
ULL_17@O3          ALP_20@H14      ALP_20@N1       85       0.0003       2.7963     151.0651
ULL_12@O3           ULL_5@H27        ULL_5@N       74       0.0002       2.8547     156.7785
ULL_17@O3            ULL_16@H      ULL_16@N1       74       0.0002       2.8772     157.8745
ULL_6@O1            ULL_5@H27        ULL_5@N       73       0.0002       2.8735     163.3204
ULL_17@O1          ALP_20@H22      ALP_20@O2       72       0.0002       2.6702     162.1186
ULL_15@O1             ULL_8@H       ULL_8@N1       68       0.0002       2.8984     147.4196
